#Saved Data from the class confocal_logic on 15.06.2026 at 14h25m59s.
#
#Parameters:
#===========
#
#X image min (m): 9.9999999999999995e-08
#X image max (m): 2.0000000000000001e-04
#X image range (m): 1.9990000000000001e-04
#Y image min: 9.9999999999999995e-08
#Y image max: 2.0000000000000001e-04
#Y image range: 1.9990000000000001e-04
#XY resolution (samples per range): 200
#XY Image at z position (m): 2.1848226020267184e-05
#Clock frequency of scanner (Hz): 500
#Return Slowness (Steps during retrace line): 50
#
#Data:
#=====
#x position (m)	y position (m)	z position (m)	count rate /Dev1/Ctr3 (Hz)	
1.000000e-07	1.000000e-07	2.184823e-05	1.150000e+04
1.104523e-06	1.000000e-07	2.184823e-05	1.350000e+04
2.109045e-06	1.000000e-07	2.184823e-05	1.300000e+04
3.113568e-06	1.000000e-07	2.184823e-05	9.000000e+03
4.118090e-06	1.000000e-07	2.184823e-05	1.300000e+04
5.122613e-06	1.000000e-07	2.184823e-05	1.300000e+04
6.127136e-06	1.000000e-07	2.184823e-05	1.300000e+04
7.131658e-06	1.000000e-07	2.184823e-05	1.000000e+04
8.136181e-06	1.000000e-07	2.184823e-05	1.050000e+04
9.140704e-06	1.000000e-07	2.184823e-05	1.200000e+04
1.014523e-05	1.000000e-07	2.184823e-05	2.000000e+04
1.114975e-05	1.000000e-07	2.184823e-05	2.550000e+04
1.215427e-05	1.000000e-07	2.184823e-05	4.450000e+04
1.315879e-05	1.000000e-07	2.184823e-05	3.200000e+04
1.416332e-05	1.000000e-07	2.184823e-05	2.450000e+04
1.516784e-05	1.000000e-07	2.184823e-05	2.300000e+04
1.617236e-05	1.000000e-07	2.184823e-05	2.200000e+04
1.717688e-05	1.000000e-07	2.184823e-05	1.150000e+04
1.818141e-05	1.000000e-07	2.184823e-05	1.400000e+04
1.918593e-05	1.000000e-07	2.184823e-05	8.500000e+03
2.019045e-05	1.000000e-07	2.184823e-05	5.500000e+03
2.119497e-05	1.000000e-07	2.184823e-05	1.450000e+04
2.219950e-05	1.000000e-07	2.184823e-05	1.050000e+04
2.320402e-05	1.000000e-07	2.184823e-05	1.300000e+04
2.420854e-05	1.000000e-07	2.184823e-05	1.150000e+04
2.521307e-05	1.000000e-07	2.184823e-05	1.450000e+04
2.621759e-05	1.000000e-07	2.184823e-05	9.000000e+03
2.722211e-05	1.000000e-07	2.184823e-05	1.250000e+04
2.822663e-05	1.000000e-07	2.184823e-05	8.000000e+03
2.923116e-05	1.000000e-07	2.184823e-05	9.000000e+03
3.023568e-05	1.000000e-07	2.184823e-05	1.150000e+04
3.124020e-05	1.000000e-07	2.184823e-05	1.300000e+04
3.224472e-05	1.000000e-07	2.184823e-05	1.650000e+04
3.324925e-05	1.000000e-07	2.184823e-05	1.400000e+04
3.425377e-05	1.000000e-07	2.184823e-05	1.300000e+04
3.525829e-05	1.000000e-07	2.184823e-05	9.500000e+03
3.626281e-05	1.000000e-07	2.184823e-05	5.500000e+03
3.726734e-05	1.000000e-07	2.184823e-05	1.000000e+04
3.827186e-05	1.000000e-07	2.184823e-05	9.500000e+03
3.927638e-05	1.000000e-07	2.184823e-05	9.500000e+03
4.028090e-05	1.000000e-07	2.184823e-05	1.900000e+04
4.128543e-05	1.000000e-07	2.184823e-05	1.050000e+04
4.228995e-05	1.000000e-07	2.184823e-05	1.000000e+04
4.329447e-05	1.000000e-07	2.184823e-05	1.350000e+04
4.429899e-05	1.000000e-07	2.184823e-05	1.200000e+04
4.530352e-05	1.000000e-07	2.184823e-05	1.150000e+04
4.630804e-05	1.000000e-07	2.184823e-05	1.300000e+04
4.731256e-05	1.000000e-07	2.184823e-05	1.150000e+04
4.831709e-05	1.000000e-07	2.184823e-05	1.000000e+04
4.932161e-05	1.000000e-07	2.184823e-05	1.300000e+04
5.032613e-05	1.000000e-07	2.184823e-05	1.150000e+04
5.133065e-05	1.000000e-07	2.184823e-05	1.750000e+04
5.233518e-05	1.000000e-07	2.184823e-05	1.950000e+04
5.333970e-05	1.000000e-07	2.184823e-05	8.000000e+03
5.434422e-05	1.000000e-07	2.184823e-05	1.400000e+04
5.534874e-05	1.000000e-07	2.184823e-05	1.200000e+04
5.635327e-05	1.000000e-07	2.184823e-05	1.200000e+04
5.735779e-05	1.000000e-07	2.184823e-05	1.000000e+04
5.836231e-05	1.000000e-07	2.184823e-05	7.000000e+03
5.936683e-05	1.000000e-07	2.184823e-05	1.250000e+04
6.037136e-05	1.000000e-07	2.184823e-05	1.250000e+04
6.137588e-05	1.000000e-07	2.184823e-05	1.350000e+04
6.238040e-05	1.000000e-07	2.184823e-05	1.000000e+04
6.338492e-05	1.000000e-07	2.184823e-05	1.150000e+04
6.438945e-05	1.000000e-07	2.184823e-05	1.100000e+04
6.539397e-05	1.000000e-07	2.184823e-05	7.000000e+03
6.639849e-05	1.000000e-07	2.184823e-05	1.250000e+04
6.740302e-05	1.000000e-07	2.184823e-05	7.500000e+03
6.840754e-05	1.000000e-07	2.184823e-05	1.350000e+04
6.941206e-05	1.000000e-07	2.184823e-05	1.850000e+04
7.041658e-05	1.000000e-07	2.184823e-05	1.250000e+04
7.142111e-05	1.000000e-07	2.184823e-05	1.250000e+04
7.242563e-05	1.000000e-07	2.184823e-05	1.400000e+04
7.343015e-05	1.000000e-07	2.184823e-05	4.750000e+04
7.443467e-05	1.000000e-07	2.184823e-05	2.200000e+04
7.543920e-05	1.000000e-07	2.184823e-05	1.550000e+04
7.644372e-05	1.000000e-07	2.184823e-05	1.100000e+04
7.744824e-05	1.000000e-07	2.184823e-05	7.000000e+03
7.845276e-05	1.000000e-07	2.184823e-05	1.350000e+04
7.945729e-05	1.000000e-07	2.184823e-05	7.000000e+03
8.046181e-05	1.000000e-07	2.184823e-05	1.000000e+04
8.146633e-05	1.000000e-07	2.184823e-05	1.000000e+04
8.247085e-05	1.000000e-07	2.184823e-05	1.100000e+04
8.347538e-05	1.000000e-07	2.184823e-05	1.350000e+04
8.447990e-05	1.000000e-07	2.184823e-05	8.000000e+03
8.548442e-05	1.000000e-07	2.184823e-05	1.100000e+04
8.648894e-05	1.000000e-07	2.184823e-05	1.050000e+04
8.749347e-05	1.000000e-07	2.184823e-05	9.000000e+03
8.849799e-05	1.000000e-07	2.184823e-05	1.200000e+04
8.950251e-05	1.000000e-07	2.184823e-05	1.300000e+04
9.050704e-05	1.000000e-07	2.184823e-05	1.350000e+04
9.151156e-05	1.000000e-07	2.184823e-05	1.050000e+04
9.251608e-05	1.000000e-07	2.184823e-05	1.400000e+04
9.352060e-05	1.000000e-07	2.184823e-05	4.500000e+03
9.452513e-05	1.000000e-07	2.184823e-05	2.000000e+04
9.552965e-05	1.000000e-07	2.184823e-05	1.350000e+04
9.653417e-05	1.000000e-07	2.184823e-05	1.550000e+04
9.753869e-05	1.000000e-07	2.184823e-05	1.050000e+04
9.854322e-05	1.000000e-07	2.184823e-05	9.000000e+03
9.954774e-05	1.000000e-07	2.184823e-05	1.450000e+04
1.005523e-04	1.000000e-07	2.184823e-05	9.000000e+03
1.015568e-04	1.000000e-07	2.184823e-05	8.000000e+03
1.025613e-04	1.000000e-07	2.184823e-05	1.150000e+04
1.035658e-04	1.000000e-07	2.184823e-05	1.350000e+04
1.045704e-04	1.000000e-07	2.184823e-05	1.350000e+04
1.055749e-04	1.000000e-07	2.184823e-05	1.100000e+04
1.065794e-04	1.000000e-07	2.184823e-05	1.050000e+04
1.075839e-04	1.000000e-07	2.184823e-05	1.200000e+04
1.085884e-04	1.000000e-07	2.184823e-05	1.450000e+04
1.095930e-04	1.000000e-07	2.184823e-05	1.050000e+04
1.105975e-04	1.000000e-07	2.184823e-05	7.000000e+03
1.116020e-04	1.000000e-07	2.184823e-05	1.250000e+04
